BG-IPG-nginx-04,125.210.127.238,125.210.113.11 ,,,,,,,,,,,
4K-IPEPG-interface01,125.210.116.118,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface02,125.210.116.119,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface03,125.210.116.130,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface04,125.210.116.131,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface05,125.210.116.132,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface06,125.210.116.133,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface07,125.210.116.134,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface08,125.210.116.135,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface09,125.210.116.136,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface10,125.210.164.105,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface11,125.210.164.106,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface12,125.210.164.107,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface13,125.210.164.108,125.210.113.253,,,,,,,,,,,
4K-IPEPG-interface14,125.210.164.109,125.210.113.253,,,,,,,,,,,
QW-DVBOTT-IPEPG-01,125.210.121.156,125.210.122.251,,,,,,,,,,,
QW-DVBOTT-IPEPG-02,125.210.121.157,125.210.122.251,,,,,,,,,,,
QW-DVBOTT-IPEPG-03,125.210.121.158,125.210.122.251,,,,,,,,,,,
QW-DVBOTT-IPEPG-04,125.210.121.159,125.210.122.251,,,,,,,,,,,
QW-DVBOTT-IPEPG-05,125.210.121.160,125.210.122.251,,,,,,,,,,,
QW-DVBOTT-IPEPG-06,125.210.121.161,125.210.122.251,,,,,,,,,,,
DVBOTT-IPEPG-PIC01,125.210.166.38,125.210.130.14,,,,,,,,,,,
DVBOTT-IPEPG-PIC02,125.210.166.39,125.210.130.14,,,,,,,,,,,
Elive-new-interface-01,125.210.168.13,125.210.113.212,,,,,,,,,,,
Elive-new-interface-02,125.210.168.14,125.210.113.212,,,,,,,,,,,
Elive-new-interface-03,125.210.168.15,125.210.113.212,,,,,,,,,,,
Elive-new-interface-04,125.210.168.16,125.210.113.212,,,,,,,,,,,
Elive-new-interface-05,125.210.124.110,125.210.113.212,,,,,,,,,,,
Elive-new-redis-01,125.210.124.111,,,,,,,,,,,,
Elive-new-redis-02,125.210.124.112,,,,,,,,,,,,
Elive-new-redis-03,125.210.124.116,,,,,,,,,,,,
Elive-new-redis-04,125.210.124.117,,,,,,,,,,,,
Elive-new-redis-05,125.210.124.118,,,,,,,,,,,,
宾馆直播频道管理系统01,172.20.17.2,125.210.136.130,,,,,,,,,,,
宾馆直播频道管理系统02,172.20.17.3,125.210.136.130,,,,,,,,,,,
宾馆直播频道管理系统03,172.20.17.4,125.210.136.130,,,,,,,,,,,
宾馆直播频道管理系统04,172.20.17.5,125.210.136.130,,,,,,,,,,,
管控01,125.210.161.71,125.210.113.65,,,,,,,,,,,
管控02,125.210.161.72,125.210.113.65,,,,,,,,,,,
能力组件01,125.210.161.73,,,,,,,,,,,,
能力组件02,125.210.161.74,,,,,,,,,,,,
能力组件03,125.210.161.75,,,,,,,,,,,,
能力组件04,125.210.161.76,,,,,,,,,,,,
管控01,172.21.11.6,125.210.137.55,,,,,,,,,,,
管控02,172.21.11.7,125.210.137.55,,,,,,,,,,,
能力组件01,172.21.11.2,,,,,,,,,,,,
能力组件02,172.21.11.3,,,,,,,,,,,,
能力组件03,172.21.11.4,,,,,,,,,,,,
能力组件04,172.21.11.5,,,,,,,,,,,,
HZBG_IPS_01,125.210.116.242,125.210.113.34,,,,,,,,,,,
HZBG_IPS_02,125.210.116.243,125.210.113.34,,,,,,,,,,,
HZBG_IPS_03,125.210.116.244,125.210.113.34,,,,,,,,,,,
HZBG_IPS_04,125.210.116.245,125.210.113.34,,,,,,,,,,,
HZBG_IPS_05,125.210.116.246,125.210.113.34,,,,,,,,,,,
HZBG_IPS_06,125.210.116.247,125.210.113.34,,,,,,,,,,,
HZBG_IPS_07,125.210.116.248,125.210.113.34,,,,,,,,,,,
HZBG_IPS_08,125.210.116.249,125.210.113.34,,,,,,,,,,,
HZBG_utc_01,125.210.168.40,125.210.113.233,,,,,,,,,,,
HZBG_utc_02,125.210.168.41,125.210.113.233,,,,,,,,,,,
HZBG_utc_03,125.210.168.42,125.210.113.233,,,,,,,,,,,
HZBG_utc_04,125.210.168.43,125.210.113.233,,,,,,,,,,,
JK4K-UTC-01,125.210.161.22,125.210.113.39,,,,,,,,,,,
JK4K-UTC-02,125.210.161.23,125.210.113.39,,,,,,,,,,,
JK4K-BSA-01,125.210.161.24,125.210.113.40,,,,,,,,,,,
JK4K-BSA-02,125.210.161.25,125.210.113.40,,,,,,,,,,,
JK4K-IPS-01,125.210.161.26,125.210.113.41,,,,,,,,,,,
JK4K-IPS-02,125.210.161.27,125.210.113.41,,,,,,,,,,,
IPTV-BMH-JKPTV-UTC01,125.210.121.170,125.210.113.23,,,,,,,,,,,
IPTV-BMH-JKPTV-UTC02,125.210.121.171,125.210.113.23,,,,,,,,,,,
IPTV-BMH-JKPTV-BSA01,125.210.121.172,125.210.113.25,,,,,,,,,,,
IPTV-BMH-JKPTV-BSA02,125.210.121.173,125.210.113.25,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS01,125.210.121.177,125.210.113.24,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS02,125.210.121.178,125.210.113.24,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS03,125.210.121.179,125.210.113.24,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS04,125.210.121.180,125.210.113.24,,,,,,,,,,,
IPTV-BMH-JKPTV-PIC01,125.210.121.181,125.210.113.26,,,,,,,,,,,
IPTV-BMH-JKPTV-PIC02,125.210.121.182,125.210.113.26,,,,,,,,,,,
IPEPG-PTV-nginx01,125.210.121.244,125.210.113.93,,,,,,,,,,,
IPEPG-PTV-nginx02,125.210.121.245,125.210.113.93,,,,,,,,,,,
IPEPG-PTV-interface01,125.210.121.246,125.210.113.94,,,,,,,,,,,
IPEPG-PTV-interface02,125.210.121.247,125.210.113.94,,,,,,,,,,,
IPTV-BMH-JKPTV-UTC01,10.255.243.102,47.98.108.63,,,,,,,,,,,
IPTV-BMH-JKPTV-UTC02,10.255.243.103,47.98.108.63,,,,,,,,,,,
IPTV-BMH-JKPTV-BSA01,10.255.243.76,47.98.249.121,,,,,,,,,,,
IPTV-BMH-JKPTV-BSA02,10.255.243.77,47.98.249.121,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS01,10.255.243.74,47.98.245.91,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS02,10.255.243.75,47.98.245.91,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS03,10.255.243.76,47.98.245.91,,,,,,,,,,,
IPTV-BMH-JKPTV-IPS04,10.255.243.77,47.98.245.91,,,,,,,,,,,
IPTV-BMH-JKPTV-PIC01,10.255.243.78,47.97.115.96,,,,,,,,,,,
IPTV-BMH-JKPTV-PIC02,10.255.243.79,47.97.115.96,,,,,,,,,,,
IPEPG-PTV-interface01,10.255.243.82,47.96.226.92,,,,,,,,,,,
IPEPG-PTV-interface02,10.255.243.83,47.96.226.92,,,,,,,,,,,
Manager_01,125.210.116.250,,,,,,,,,,,,
Manager_02,125.210.116.251,,,,,,,,,,,,
NanChang4K-IPEPG-01,10.255.54.96,,,,,,,,,,,,
NanChang4K-IPEPG-02,10.255.54.97,,,,,,,,,,,,
NanChang4K-Interface-01,10.255.54.94,10.255.54.107,,,,,,,,,,,
NanChang4K-Interface-02,10.255.54.95,10.255.54.107,,,,,,,,,,,
NanChang4K-USDLDS-01,125.210.126.217,125.210.113.117,,,,,,,,,,,
NanChang4K-USDLDS-02,125.210.126.218,125.210.113.117,,,,,,,,,,,
HSS01,125.210.121.242,,,,,,,,,,,,
HSS02,125.210.121.243,,,,,,,,,,,,
ott-loms-pic-01,10.252.16.28,大小喵：125.210.48.90  4K：125.210.136.59,,,,,,,,,,,
ott-loms-pic-02,10.252.16.29,大小喵：125.210.48.90  4K：125.210.136.59,,,,,,,,,,,
ott-loms-ol-01,10.252.16.2,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-02,10.252.16.3,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-03,10.252.16.4,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-04,10.252.16.141,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-05,10.252.16.142,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-06,10.252.16.17,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-07,10.252.16.19,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-08,10.252.16.23,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-09,10.252.16.115,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-10,10.252.16.127,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-ol-11,10.252.16.128,大小喵：125.210.48.79   4K：125.210.136.254,,,,,,,,,,,
ott-loms-manager-01,10.252.16.5,,,,,,,,,,,,
ott-loms-manager-02,10.252.16.6,,,,,,,,,,,,
new-ott-loms-pic-01,172.20.4.29,125.210.48.48（公网）125.210.137.128（内网）,,,,,,,,,,,
new-ott-loms-pic-02,172.20.4.27,125.210.48.48（公网）125.210.137.128（内网）,,,,,,,,,,,
new-ott-loms-ol-01,172.20.4.12,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-ol-02,172.20.4.13,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-ol-03,172.20.4.26,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-ol-04,172.20.4.53,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-ol-05,172.20.4.54,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-ol-06,172.20.4.55,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-ol-07,172.20.4.56,125.210.48.110（公网）125.210.137.104（内网）,,,,,,,,,,,
new-ott-loms-manager-01,172.20.4.28,125.210.137.61,,,,,,,,,,,
new-ott-loms-manager-02,172.20.4.30,,,,,,,,,,,,
manager,172.20.30.2,,,,,,,,,,,,
sd-InNet-loms-OL_Pic-01,172.20.30.3,125.210.138.58 ,,,,,,,,,,,
sd-InNet-loms-OL_Pic-02,172.20.30.4,125.210.138.58 ,,,,,,,,,,,
bmh-InNet-loms-Redis-01,172.20.30.5,,,,,,,,,,,,
bmh-InNet-loms-Redis-02,172.20.30.6,,,,,,,,,,,,
bmh-InNet-loms-Redis-03,172.20.30.7,,,,,,,,,,,,
bmh-BroadNet-loms-MGR-01,172.20.30.8,,,,,,,,,,,,
bmh-BroadNet-loms-MGR-02,172.20.30.9,,,,,,,,,,,,
bmh-BroadNet-loms-OL-01,172.20.30.45,125.210.138.59,,,,,,,,,,,
bmh-BroadNet-loms-OL-02,172.20.30.58,125.210.138.59,,,,,,,,,,,
iDASS_bmh_business_01,125.210.121.32,125.210.122.137,,,,,,,,,,,
iDASS_bmh_business_02,125.210.121.33,125.210.122.137,,,,,,,,,,,
iDASS_bmh_business_03,125.210.121.34,125.210.122.137,,,,,,,,,,,
iDASS_bmh_business_04,125.210.121.35,125.210.122.137,,,,,,,,,,,
iDASS_bmh_business_01,125.210.121.30,125.210.130.12:9090   125.210.122.136:80   125.210.122.136:8080,,,,,,,,,,,
iDASS_bmh_business_02,125.210.121.31,125.210.130.12:9090   125.210.122.136:80   125.210.122.136:8080,,,,,,,,,,,
iDASS_bmh_business_03,125.210.121.252,125.210.130.12:9090   125.210.122.136:80   125.210.122.136:8080,,,,,,,,,,,
iDASS_bmh_business_04,125.210.121.253,125.210.130.12:9090   125.210.122.136:80   125.210.122.136:8080,,,,,,,,,,,
iDASS_bmh_face_01,125.210.121.36,125.210.122.138:80,,,,,,,,,,,
iDASS_bmh_face_02,125.210.121.37,125.210.122.138:80,,,,,,,,,,,
iDASS_bmh_face_03,125.210.121.38,125.210.122.138:80,,,,,,,,,,,
iDASS_bmh_face_04,125.210.121.47,125.210.122.138:80,,,,,,,,,,,
iDASS_bmh_face_05,125.210.121.48,125.210.122.138:80,,,,,,,,,,,
iDASS_bmh_face_06,125.210.121.49,125.210.122.138:80,,,,,,,,,,,
mongdb-01,125.210.160.38,125.210.113.88:27017,,,,,,,,,,,
mongdb-02,125.210.160.39,125.210.113.88:27017,,,,,,,,,,,
mongdb-03,125.210.160.40,125.210.113.88:27017,,,,,,,,,,,
ius-ol-01,125.210.124.71,125.210.122.45,,,,,,,,,,,
ius-ol-02,125.210.124.72,125.210.122.45,,,,,,,,,,,
ius-ol-03,125.210.124.73,125.210.122.45,,,,,,,,,,,
ius-ol-04,125.210.161.46,125.210.122.45,,,,,,,,,,,
ius-ol-05,125.210.161.47,125.210.122.45,,,,,,,,,,,
ius-ol-06,125.210.161.48,125.210.122.45,,,,,,,,,,,
ius-ol-backup-01,125.210.168.136,125.210.122.45,,,,,,,,,,,
ius-ol-backup-02,125.210.168.137,125.210.122.45,,,,,,,,,,,
ius-ol-backup-03,125.210.168.138,125.210.122.45,,,,,,,,,,,
ius-ol-backup-04,125.210.168.139,125.210.122.45,,,,,,,,,,,
ius-ol-backup-05,125.210.168.140,125.210.122.45,,,,,,,,,,,
ius-ol-backup-06,125.210.168.141,125.210.122.45,,,,,,,,,,,
IUS-CAS-01,125.210.162.76,CAS: 125.210.113.173（应用关闭）,,,,,,,,,,,
IUS-CAS-02,125.210.162.77,,,,,,,,,,,,
ius-manager,125.210.124.84,manager,,,,,,,,,,,
iorder_ol_01,125.210.121.200,125.210.113.62,,,,,,,,,,,
iorder_ol_02,125.210.121.201,125.210.113.62,,,,,,,,,,,
iorder_ol_03,125.210.160.221,125.210.113.62,,,,,,,,,,,
iorder_ol_04,125.210.160.222,125.210.113.62,,,,,,,,,,,
iorder_ol_05,125.210.166.26,125.210.113.62,,,,,,,,,,,
iorder_ol_06,125.210.166.96,125.210.113.62,,,,,,,,,,,
iorder_ol_07,125.210.166.97,125.210.113.62,,,,,,,,,,,
iorder_ol_08,125.210.166.98,125.210.113.62,,,,,,,,,,,
GSD&GRM,125.210.116.52,,,,,,,,,,,,
GSD&GRM,125.210.116.53,,,,,,,,,,,,
GRM-VIP,125.210.116.54,,,,,,,,,,,,
